scenario_id,mode,fare,in-vehicle time,waiting time,access & egress time,transfer time,crowding level,customs clearance time
1.1,1,40,70,5,15,0,50%,30
1.1,2,75,25,20,30,1,50%,20
1.1,3,400,55,5,--,1,--,15
1.1,4,330,50,--,5,0,--,20
1.1,5,600,18,5,10,0,--,15
1.2,1,40,70,5,15,0,50%,30
1.2,2,75,25,20,30,1,50%,20
1.2,3,400,55,5,--,1,--,15
1.2,4,330,50,--,5,0,--,20
1.2,5,600,18,5,10,0,--,15
2.1,1,40,60,3,15,1,10%,20
2.1,2,125,20,20,20,2,90%,30
2.1,3,350,65,1,--,1,--,15
2.1,4,330,50,--,10,0,--,15
2.1,5,600,18,8,20,0,--,20
2.2,1,40,60,3,15,1,10%,20
2.2,2,125,20,20,20,2,90%,30
2.2,3,350,65,1,--,1,--,15
2.2,4,330,50,--,10,0,--,15
2.2,5,600,18,8,20,0,--,20
3.1,1,40,80,10,15,0,10%,15
3.1,2,75,15,10,40,2,90%,20
3.1,3,450,55,5,--,1,--,20
3.1,4,300,50,--,10,0,--,30
3.1,5,800,15,5,10,2,--,30
3.2,1,40,80,10,15,0,10%,15
3.2,2,75,15,10,40,2,90%,20
3.2,3,450,55,5,--,1,--,20
3.2,4,300,50,--,10,0,--,30
3.2,5,800,15,5,10,2,--,30
4.1,1,60,60,5,15,1,50%,30
4.1,2,75,25,15,30,2,90%,20
4.1,3,400,55,1,--,1,--,30
4.1,4,300,65,--,5,0,--,20
4.1,5,800,12,12,20,0,--,15
4.2,1,60,60,5,15,1,50%,30
4.2,2,75,25,15,30,2,90%,20
4.2,3,400,55,1,--,1,--,30
4.2,4,300,65,--,5,0,--,20
4.2,5,800,12,12,20,0,--,15
5.1,1,70,130,3,5,3,50%,20
5.1,2,220,40,20,30,0,50%,15
5.1,3,460,100,3,--,1,--,30
5.1,4,400,85,--,10,0,--,30
5.1,5,800,20,8,20,1,--,15
5.2,1,70,130,3,5,3,50%,20
5.2,2,220,40,20,30,0,50%,15
5.2,3,460,100,3,--,1,--,30
5.2,4,400,85,--,10,0,--,30
5.2,5,800,20,8,20,1,--,15
6.1,1,100,130,10,10,2,90%,20
6.1,2,140,40,10,40,3,10%,20
6.1,3,530,100,3,--,0,--,15
6.1,4,400,100,--,10,0,--,30
6.1,5,1050,25,12,10,1,--,30
6.2,1,100,130,10,10,2,90%,20
6.2,2,140,40,10,40,3,10%,20
6.2,3,530,100,3,--,0,--,15
6.2,4,400,100,--,10,0,--,30
6.2,5,1050,25,12,10,1,--,30
7.1,1,85,110,3,5,3,90%,15
7.1,2,180,45,15,40,0,10%,30
7.1,3,460,85,5,--,0,--,20
7.1,4,440,75,--,20,0,--,15
7.1,5,550,30,12,15,1,--,30
7.2,1,85,110,3,5,3,90%,15
7.2,2,180,45,15,40,0,10%,30
7.2,3,460,85,5,--,0,--,20
7.2,4,440,75,--,20,0,--,15
7.2,5,550,30,12,15,1,--,30
8.1,1,100,110,3,15,3,50%,30
8.1,2,140,40,15,30,3,90%,20
8.1,3,530,85,1,--,1,--,20
8.1,4,360,100,--,5,0,--,15
8.1,5,1050,25,8,15,0,--,15
8.2,1,100,110,3,15,3,50%,30
8.2,2,140,40,15,30,3,90%,20
8.2,3,530,85,1,--,1,--,20
8.2,4,360,100,--,5,0,--,15
8.2,5,1050,25,8,15,0,--,15
9.1,1,120,195,3,15,3,50%,15
9.1,2,230,55,20,20,0,90%,15
9.1,3,750,140,1,--,0,--,20
9.1,4,550,110,--,20,0,--,20
9.1,5,1000,45,12,15,2,--,30
9.2,1,120,195,3,15,3,50%,15
9.2,2,230,55,20,20,0,90%,15
9.2,3,750,140,1,--,0,--,20
9.2,4,550,110,--,20,0,--,20
9.2,5,1000,45,12,15,2,--,30
10.1,1,150,170,10,5,1,50%,20
10.1,2,290,55,20,30,3,10%,15
10.1,3,750,140,3,--,0,--,30
10.1,4,450,140,--,20,0,--,20
10.1,5,700,45,5,15,0,--,15
10.2,1,150,170,10,5,1,50%,20
10.2,2,290,55,20,30,3,10%,15
10.2,3,750,140,3,--,0,--,30
10.2,4,450,140,--,20,0,--,20
10.2,5,700,45,5,15,0,--,15
11.1,1,120,220,10,15,2,10%,20
11.1,2,350,75,20,40,1,50%,15
11.1,3,570,110,3,--,0,--,30
11.1,4,500,110,--,10,0,--,20
11.1,5,1300,45,5,10,3,--,30
11.2,1,120,220,10,15,2,10%,20
11.2,2,350,75,20,40,1,50%,15
11.2,3,570,110,3,--,0,--,30
11.2,4,500,110,--,10,0,--,20
11.2,5,1300,45,5,10,3,--,30
12.1,1,150,170,10,5,3,10%,30
12.1,2,230,65,15,40,0,50%,15
12.1,3,750,110,1,--,0,--,20
12.1,4,450,140,--,10,0,--,30
12.1,5,1300,45,8,20,3,--,15
12.2,1,150,170,10,5,3,10%,30
12.2,2,230,65,15,40,0,50%,15
12.2,3,750,110,1,--,0,--,20
12.2,4,450,140,--,10,0,--,30
12.2,5,1300,45,8,20,3,--,15
