scenario_id,mode,fare,in-vehicle time,waiting time,access & egress time,transfer time,crowding level,customs clearance time
1.1,1,60,80,5,5,0,50%,15
1.1,2,100,25,10,30,1,10%,30
1.1,3,350,50,3,--,1,--,20
1.1,4,300,55,--,20,0,--,20
1.1,5,800,15,12,15,0,--,15
1.2,1,60,80,5,5,0,50%,15
1.2,2,100,25,10,30,1,10%,30
1.2,3,350,50,3,--,1,--,20
1.2,4,300,55,--,20,0,--,20
1.2,5,800,15,12,15,0,--,15
2.1,1,50,60,5,5,0,90%,30
2.1,2,125,15,20,30,2,10%,20
2.1,3,350,55,1,--,0,--,15
2.1,4,270,65,--,20,0,--,30
2.1,5,600,15,5,15,1,--,15
2.2,1,50,60,5,5,0,90%,30
2.2,2,125,15,20,30,2,10%,20
2.2,3,350,55,1,--,0,--,15
2.2,4,270,65,--,20,0,--,30
2.2,5,600,15,5,15,1,--,15
3.1,1,40,60,3,5,0,10%,30
3.1,2,75,25,20,30,0,90%,15
3.1,3,450,65,1,--,1,--,30
3.1,4,300,50,--,5,0,--,20
3.1,5,600,15,8,15,2,--,15
3.2,1,40,60,3,5,0,10%,30
3.2,2,75,25,20,30,0,90%,15
3.2,3,450,65,1,--,1,--,30
3.2,4,300,50,--,5,0,--,20
3.2,5,600,15,8,15,2,--,15
4.1,1,50,70,3,15,0,10%,20
4.1,2,100,25,20,30,2,50%,30
4.1,3,450,65,5,--,1,--,20
4.1,4,270,55,--,5,0,--,15
4.1,5,400,12,5,15,0,--,30
4.2,1,50,70,3,15,0,10%,20
4.2,2,100,25,20,30,2,50%,30
4.2,3,450,65,5,--,1,--,20
4.2,4,270,55,--,5,0,--,15
4.2,5,400,12,5,15,0,--,30
5.1,1,85,110,10,10,2,50%,15
5.1,2,180,45,10,40,1,90%,15
5.1,3,460,75,3,--,0,--,20
5.1,4,440,100,--,10,0,--,20
5.1,5,1050,30,8,20,3,--,30
5.2,1,85,110,10,10,2,50%,15
5.2,2,180,45,10,40,1,90%,15
5.2,3,460,75,3,--,0,--,20
5.2,4,440,100,--,10,0,--,20
5.2,5,1050,30,8,20,3,--,30
6.1,1,100,110,5,5,2,10%,30
6.1,2,140,55,20,30,3,90%,15
6.1,3,600,85,3,--,0,--,20
6.1,4,360,75,--,20,0,--,20
6.1,5,800,30,5,10,1,--,30
6.2,1,100,110,5,5,2,10%,30
6.2,2,140,55,20,30,3,90%,15
6.2,3,600,85,3,--,0,--,20
6.2,4,360,75,--,20,0,--,20
6.2,5,800,30,5,10,1,--,30
7.1,1,100,150,3,5,0,10%,15
7.1,2,140,40,20,40,1,90%,30
7.1,3,600,100,1,--,1,--,30
7.1,4,400,85,--,5,0,--,15
7.1,5,800,25,8,15,2,--,20
7.2,1,100,150,3,5,0,10%,15
7.2,2,140,40,20,40,1,90%,30
7.2,3,600,100,1,--,1,--,30
7.2,4,400,85,--,5,0,--,15
7.2,5,800,25,8,15,2,--,20
8.1,1,85,150,5,10,3,10%,15
8.1,2,220,45,20,20,2,90%,30
8.1,3,530,100,5,--,0,--,30
8.1,4,440,75,--,10,0,--,20
8.1,5,550,20,5,10,2,--,15
8.2,1,85,150,5,10,3,10%,15
8.2,2,220,45,20,20,2,90%,30
8.2,3,530,100,5,--,0,--,30
8.2,4,440,75,--,10,0,--,20
8.2,5,550,20,5,10,2,--,15
9.1,1,120,195,3,5,3,50%,20
9.1,2,350,55,20,30,0,50%,15
9.1,3,570,140,3,--,1,--,30
9.1,4,500,125,--,10,0,--,30
9.1,5,1000,35,8,20,1,--,15
9.2,1,120,195,3,5,3,50%,20
9.2,2,350,55,20,30,0,50%,15
9.2,3,570,140,3,--,1,--,30
9.2,4,500,125,--,10,0,--,30
9.2,5,1000,35,8,20,1,--,15
10.1,1,180,195,10,10,2,90%,20
10.1,2,230,55,10,40,3,10%,20
10.1,3,660,140,3,--,0,--,15
10.1,4,500,140,--,10,0,--,30
10.1,5,1300,45,12,10,1,--,30
10.2,1,180,195,10,10,2,90%,20
10.2,2,230,55,10,40,3,10%,20
10.2,3,660,140,3,--,0,--,15
10.2,4,500,140,--,10,0,--,30
10.2,5,1300,45,12,10,1,--,30
11.1,1,150,170,3,5,3,90%,15
11.1,2,290,65,15,40,0,10%,30
11.1,3,570,125,5,--,0,--,20
11.1,4,550,110,--,20,0,--,15
11.1,5,700,60,12,15,1,--,30
11.2,1,150,170,3,5,3,90%,15
11.2,2,290,65,15,40,0,10%,30
11.2,3,570,125,5,--,0,--,20
11.2,4,550,110,--,20,0,--,15
11.2,5,700,60,12,15,1,--,30
12.1,1,180,170,3,15,3,50%,30
12.1,2,230,55,15,30,3,90%,20
12.1,3,660,125,1,--,1,--,20
12.1,4,450,140,--,5,0,--,15
12.1,5,1300,45,8,15,0,--,15
12.2,1,180,170,3,15,3,50%,30
12.2,2,230,55,15,30,3,90%,20
12.2,3,660,125,1,--,1,--,20
12.2,4,450,140,--,5,0,--,15
12.2,5,1300,45,8,15,0,--,15
